hex_id,edge_id
8a1f8d9886f7fff,201950263#0
8a1f8d98a00ffff,-128361102#1
8a1f8d98a00ffff,128361102#0
8a1f8d98a02ffff,128361109#1
8a1f8d98a02ffff,201238729#3
8a1f8d98a057fff,-128361102#1
8a1f8d98a057fff,128361102#0
8a1f8d98a067fff,128361109#1
8a1f8d98a067fff,201238729#3
8a1f8d98a06ffff,128361109#1
8a1f8d98a087fff,-393420106#1
8a1f8d98a087fff,201201935#0
8a1f8d98a08ffff,-393420106#1
8a1f8d98a08ffff,201201935#0
8a1f8d98a0cffff,-170425366#6
8a1f8d98a0cffff,170425366#0
8a1f8d98a0d7fff,-393420106#1
8a1f8d98a0d7fff,201201935#0
8a1f8d98a0dffff,-393420106#1
8a1f8d98a0dffff,201201935#0
8a1f8d98a0e7fff,128361102#0
8a1f8d98a0effff,-128361102#1
8a1f8d98a0effff,-285549250#1
8a1f8d98a0effff,128361102#0
8a1f8d98a0effff,285549250#0
8a1f8d98a15ffff,128361109#1
8a1f8d98a15ffff,201238729#3
8a1f8d98a207fff,-218647954
8a1f8d98a207fff,-24634517#12
8a1f8d98a207fff,-24634517#7
8a1f8d98a207fff,-24634517#8
8a1f8d98a207fff,-24634519
8a1f8d98a207fff,-24634521#0
8a1f8d98a207fff,-24634521#1
8a1f8d98a207fff,218647954
8a1f8d98a207fff,24634517#6
8a1f8d98a207fff,24634517#8
8a1f8d98a207fff,24634517#9
8a1f8d98a207fff,24634519
8a1f8d98a207fff,24634521#0
8a1f8d98a207fff,24634521#1
8a1f8d98a20ffff,-218647954
8a1f8d98a20ffff,-23525483#5
8a1f8d98a20ffff,-23525483#6
8a1f8d98a20ffff,-24634521#1
8a1f8d98a20ffff,-24634521#2
8a1f8d98a20ffff,218647954
8a1f8d98a20ffff,23525483#1
8a1f8d98a20ffff,23525483#6
8a1f8d98a20ffff,24634517#13
8a1f8d98a20ffff,24634517#9
8a1f8d98a20ffff,24634521#1
8a1f8d98a20ffff,24634521#2
8a1f8d98a217fff,-201963533#4
8a1f8d98a217fff,-201963533#5
8a1f8d98a217fff,-22716072#3
8a1f8d98a217fff,201963533#4
8a1f8d98a217fff,201963533#5
8a1f8d98a217fff,24634517#1
8a1f8d98a21ffff,-136728347#4
8a1f8d98a21ffff,128906555
8a1f8d98a227fff,-24634518#1
8a1f8d98a227fff,-24634518#2
8a1f8d98a227fff,24634518#1
8a1f8d98a227fff,24634518#2
8a1f8d98a22ffff,-24634517#12
8a1f8d98a22ffff,-24634517#16
8a1f8d98a22ffff,24634517#9
8a1f8d98a237fff,-120125554
8a1f8d98a237fff,-24634516#2
8a1f8d98a237fff,-24634517#3
8a1f8d98a237fff,-24634517#5
8a1f8d98a237fff,-24634517#7
8a1f8d98a237fff,-24634518#0
8a1f8d98a237fff,-24634518#2
8a1f8d98a237fff,120125554
8a1f8d98a237fff,24634516#2
8a1f8d98a237fff,24634517#1
8a1f8d98a237fff,24634517#4
8a1f8d98a237fff,24634517#6
8a1f8d98a237fff,24634518#0
8a1f8d98a237fff,24634518#1
8a1f8d98a237fff,24634518#2
8a1f8d98a247fff,-23436553#2
8a1f8d98a247fff,23436553#2
8a1f8d98a24ffff,-22690205#1
8a1f8d98a24ffff,-22690205#2
8a1f8d98a24ffff,-22690205#3
8a1f8d98a24ffff,-22690206#0
8a1f8d98a24ffff,-22690206#1
8a1f8d98a24ffff,-22879845
8a1f8d98a24ffff,-23436553#1
8a1f8d98a24ffff,22690205#0
8a1f8d98a24ffff,22690205#2
8a1f8d98a24ffff,22690205#3
8a1f8d98a24ffff,22690206#0
8a1f8d98a24ffff,22690206#1
8a1f8d98a24ffff,22879845
8a1f8d98a24ffff,23436553#0
8a1f8d98a257fff,-23525483#0
8a1f8d98a257fff,-23525483#5
8a1f8d98a257fff,-23525483#6
8a1f8d98a257fff,-23525483#7
8a1f8d98a257fff,23525483#0
8a1f8d98a257fff,23525483#1
8a1f8d98a257fff,23525483#6
8a1f8d98a257fff,23525483#7
8a1f8d98a25ffff,-233675413#1
8a1f8d98a25ffff,-23436553#1
8a1f8d98a25ffff,-23436553#2
8a1f8d98a25ffff,-23525483#0
8a1f8d98a25ffff,233675413#1
8a1f8d98a25ffff,23436553#0
8a1f8d98a25ffff,23436553#2
8a1f8d98a25ffff,23525483#0
8a1f8d98a267fff,-218647947#1
8a1f8d98a267fff,-23436553#2
8a1f8d98a267fff,204588664#0
8a1f8d98a267fff,23436553#2
8a1f8d98a26ffff,-218647947#1
8a1f8d98a26ffff,-22690205#3
8a1f8d98a26ffff,-22879845
8a1f8d98a26ffff,-23436553#2
8a1f8d98a26ffff,-23436553#3
8a1f8d98a26ffff,-23436553#4
8a1f8d98a26ffff,204588664#0
8a1f8d98a26ffff,22690205#3
8a1f8d98a26ffff,22879845
8a1f8d98a26ffff,23436553#2
8a1f8d98a26ffff,23436553#3
8a1f8d98a26ffff,23436553#4
8a1f8d98a277fff,-24634517#16
8a1f8d98a277fff,-24634517#17
8a1f8d98a277fff,-24634517#18
8a1f8d98a277fff,-24634517#19
8a1f8d98a277fff,24634517#13
8a1f8d98a277fff,24634517#17
8a1f8d98a277fff,24634517#18
8a1f8d98a277fff,24634517#19
8a1f8d98a287fff,-28111977#4
8a1f8d98a287fff,-28111977#5
8a1f8d98a287fff,-32395414#1
8a1f8d98a287fff,-93386922
8a1f8d98a287fff,28111977#4
8a1f8d98a287fff,28111977#5
8a1f8d98a287fff,31860333#0
8a1f8d98a287fff,32395414#1
8a1f8d98a287fff,93386922
8a1f8d98a28ffff,-25145014#4
8a1f8d98a28ffff,-25187892
8a1f8d98a28ffff,-26642362#1
8a1f8d98a28ffff,-28111977#6
8a1f8d98a28ffff,25187892
8a1f8d98a28ffff,26642362#1
8a1f8d98a28ffff,28111977#6
8a1f8d98a297fff,-28111977#3
8a1f8d98a297fff,-28111977#4
8a1f8d98a297fff,-31860333#0
8a1f8d98a297fff,-32395414#0
8a1f8d98a297fff,-32395414#1
8a1f8d98a297fff,-32395464
8a1f8d98a297fff,28111977#3
8a1f8d98a297fff,28111977#4
8a1f8d98a297fff,31860333#0
8a1f8d98a297fff,32395414#0
8a1f8d98a297fff,32395414#1
8a1f8d98a297fff,32395464
8a1f8d98a29ffff,-25136986
8a1f8d98a29ffff,-26642362#0
8a1f8d98a29ffff,-26642362#1
8a1f8d98a29ffff,-26642363
8a1f8d98a29ffff,-28111977#5
8a1f8d98a29ffff,-28111977#6
8a1f8d98a29ffff,25136986
8a1f8d98a29ffff,26642362#0
8a1f8d98a29ffff,26642362#1
8a1f8d98a29ffff,26642363
8a1f8d98a29ffff,28111977#5
8a1f8d98a29ffff,28111977#6
8a1f8d98a29ffff,32395414#1
8a1f8d98a2a7fff,-22716072#3
8a1f8d98a2a7fff,-31860333#0
8a1f8d98a2a7fff,-31860333#1
8a1f8d98a2a7fff,-93386922
8a1f8d98a2a7fff,201963533#1
8a1f8d98a2a7fff,201963533#4
8a1f8d98a2a7fff,22716072#0
8a1f8d98a2a7fff,22716073
8a1f8d98a2a7fff,31860333#0
8a1f8d98a2a7fff,31860333#1
8a1f8d98a2a7fff,93386922
8a1f8d98a2affff,-136728347#4
8a1f8d98a2affff,-201963533#5
8a1f8d98a2affff,-22716072#5
8a1f8d98a2affff,-22716073
8a1f8d98a2affff,-25145014#4
8a1f8d98a2affff,-26642362#1
8a1f8d98a2affff,-26642362#2
8a1f8d98a2affff,-26642362#3
8a1f8d98a2affff,-26642362#5
8a1f8d98a2affff,128906555
8a1f8d98a2affff,201963533#5
8a1f8d98a2affff,22716072#4
8a1f8d98a2affff,22716073
8a1f8d98a2affff,25145014#4
8a1f8d98a2affff,26642362#1
8a1f8d98a2affff,26642362#2
8a1f8d98a2affff,26642362#3
8a1f8d98a2affff,26642362#4
8a1f8d98a2b7fff,-28111977#2
8a1f8d98a2b7fff,-31860333#0
8a1f8d98a2b7fff,-31860333#1
8a1f8d98a2b7fff,-31860333#2
8a1f8d98a2b7fff,-32395464
8a1f8d98a2b7fff,28111977#2
8a1f8d98a2b7fff,32395464
8a1f8d98a2c7fff,-25145012#1
8a1f8d98a2c7fff,-25145014#1
8a1f8d98a2c7fff,-25145014#2
8a1f8d98a2c7fff,-25187891
8a1f8d98a2c7fff,25145014#1
8a1f8d98a2c7fff,25145014#2
8a1f8d98a2c7fff,25187891
8a1f8d98a2cffff,-25145012#1
8a1f8d98a2cffff,-25145012#2
8a1f8d98a2cffff,-25145012#3
8a1f8d98a2cffff,-25145014#0
8a1f8d98a2cffff,-25145014#1
8a1f8d98a2cffff,-25187889
8a1f8d98a2cffff,-25187895#1
8a1f8d98a2cffff,25145012#1
8a1f8d98a2cffff,25145012#2
8a1f8d98a2cffff,25145012#3
8a1f8d98a2cffff,25145014#0
8a1f8d98a2cffff,25145014#1
8a1f8d98a2cffff,25187889
8a1f8d98a2cffff,25187895#1
8a1f8d98a2d7fff,-25145012#0
8a1f8d98a2d7fff,-25145012#1
8a1f8d98a2d7fff,-25187893
8a1f8d98a2d7fff,-25209894#0
8a1f8d98a2d7fff,-25209894#1
8a1f8d98a2d7fff,-28111977#7
8a1f8d98a2d7fff,-28111977#8
8a1f8d98a2d7fff,25145012#0
8a1f8d98a2d7fff,25145012#1
8a1f8d98a2d7fff,25187893
8a1f8d98a2d7fff,25209894#0
8a1f8d98a2d7fff,25209894#1
8a1f8d98a2d7fff,28111977#7
8a1f8d98a2d7fff,28111977#8
8a1f8d98a2dffff,-25145012#1
8a1f8d98a2dffff,-25187893
8a1f8d98a2dffff,-25187895#1
8a1f8d98a2dffff,-28111977#8
8a1f8d98a2dffff,-28111977#9
8a1f8d98a2dffff,25145012#1
8a1f8d98a2dffff,25187893
8a1f8d98a2dffff,25187895#1
8a1f8d98a2dffff,28111977#8
8a1f8d98a2dffff,28111977#9
8a1f8d98a2e7fff,-136728347#4
8a1f8d98a2e7fff,-23525483#5
8a1f8d98a2e7fff,128906555
8a1f8d98a2e7fff,23525483#1
8a1f8d98a2effff,-136728347#4
8a1f8d98a2effff,-233675413#0
8a1f8d98a2effff,-233675413#1
8a1f8d98a2effff,-25187891
8a1f8d98a2effff,128906555
8a1f8d98a2effff,233675413#0
8a1f8d98a2effff,233675413#1
8a1f8d98a2effff,25187891
8a1f8d98a2f7fff,-25145014#2
8a1f8d98a2f7fff,-25145014#3
8a1f8d98a2f7fff,-25209894#1
8a1f8d98a2f7fff,25145014#2
8a1f8d98a2f7fff,25145014#3
8a1f8d98a2f7fff,25145014#4
8a1f8d98a2f7fff,25209894#1
8a1f8d98a307fff,-24634510#15
8a1f8d98a307fff,-24634510#18
8a1f8d98a307fff,-24634514#1
8a1f8d98a307fff,24634510#16
8a1f8d98a307fff,24634510#9
8a1f8d98a307fff,24634514#0
8a1f8d98a30ffff,-24634510#15
8a1f8d98a30ffff,24634510#9
8a1f8d98a317fff,-10427692#5
8a1f8d98a317fff,-10427692#6
8a1f8d98a317fff,-10427692#7
8a1f8d98a317fff,10427692#5
8a1f8d98a317fff,10427692#6
8a1f8d98a317fff,10427692#7
8a1f8d98a317fff,10427692#7.50
8a1f8d98a327fff,-201238726#0
8a1f8d98a327fff,-201238726#1
8a1f8d98a327fff,128906569#10
8a1f8d98a327fff,176550246
8a1f8d98a327fff,176550249#0
8a1f8d98a327fff,201201953#10
8a1f8d98a327fff,201201953#12
8a1f8d98a327fff,201238719#0
8a1f8d98a327fff,201238726#0
8a1f8d98a327fff,201238726#0.117
8a1f8d98a327fff,201238726#1
8a1f8d98a327fff,201238730
8a1f8d98a32ffff,-24634513#5
8a1f8d98a32ffff,-24634513#6
8a1f8d98a32ffff,-24634514#1
8a1f8d98a32ffff,176550249#0
8a1f8d98a32ffff,176550249#1
8a1f8d98a32ffff,201201953#10
8a1f8d98a32ffff,24634513#0
