edge_id,visit_count,first_time,last_time,agent_count,experiment_count
379897807,3,6,31,3,1
386687235,15,12,82,15,1
386687239#0,10,13,82,10,1
386687239#1,12,13,82,12,1
386687242,1,70,70,1,1
399835085#0,3,16,83,3,1
399835085#1,3,16,83,3,1
402600768#0,4,26,82,4,1
402600768#1,4,26,82,4,1
447569997#0,1,81,81,1,1
447569997#1,1,81,81,1,1
51857516#1,2,32,59,2,1
51857517#0,4,26,82,4,1
51857517#0.33,4,26,82,4,1
51857517#1,4,26,82,4,1
51857518#1,3,12,82,3,1
